Name,Distillery,Category,Region,Country,Age,ABV (%),Cask Type,Peat Level,Vintage,Bottler
Teeling 15 Year Old,Teeling Distillery,Irish Whiskey,Ireland,Ireland,15,46,Ex-Bourbon,None,,Official
Teeling 15 Year Old,Teeling,Irish Whiskey,Ireland,Ireland,15,46,Ex-Bourbon,None,,Official
Teeling 21 Year Old,Teeling,Irish Whiskey,Ireland,Ireland,21,46,"Ex-Bourbon, Ex-Wine",None,,Official
Teeling 24 Year Old,Teeling Distillery,Irish Whiskey,Ireland,Ireland,24,50,Ex-Bourbon,None,,Official
Teeling 27 Year Old,Teeling,Irish Whiskey,Ireland,Ireland,27,49.5,"Ex-Bourbon, Ex-Wine",None,,Official
Teeling Brabazon Series 1,Teeling Distillery,Irish Whiskey,Ireland,Ireland,NAS,49,Ex-Sherry,None,,Official
Teeling Renaissance 15 Year Old,Teeling,Irish Whiskey,Ireland,Ireland,15,46,"Ex-Bourbon, Ex-Wine",None,,Official
Teeling Renaissance Series 15 Year Old,Teeling,Irish Whiskey,Ireland,Ireland,15,50,Ex-Wine,None,,Official
Teeling Single Malt,Teeling Distillery,Irish Whiskey,Ireland,Ireland,NAS,46,Ex-Bourbon/Ex-Wine,None,,Official
Teeling Single Malt,Teeling,Irish Whiskey,Ireland,Ireland,NAS,46,"Ex-Bourbon, Ex-Wine",None,,Official
Teeling Small Batch,Teeling,Irish Whiskey,Ireland,Ireland,NAS,46,Ex-Rum,None,,Official
Teeling Small Batch,Teeling Distillery,Irish Whiskey,Ireland,Ireland,NAS,46,Ex-Rum,None,,Official
The Glendalough 13 Year Old,Glendalough,Irish Whiskey,Ireland,Ireland,13,43,"Ex-Bourbon, Ex-Sherry",None,,Official
The GlenDronach Revival,The GlenDronach,Irish Whiskey,Ireland,Ireland,15,46,Ex-Sherry,None,,Official
The Lost Distillery Co. Single Malt,Lost Distillery,Irish Whiskey,Ireland,Ireland,NAS,40,Ex-Bourbon,None,,Official
The Shed Distillery Single Malt,The Shed Distillery,Irish Whiskey,Ireland,Ireland,NAS,43,Ex-Bourbon,None,,Official
The Shed Distillery Single Malt Batch 2,The Shed Distillery,Irish Whiskey,Ireland,Ireland,NAS,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Tullamore D.E.W. 12 Year Old Special Reserve,Tullamore Distillery,Irish Whiskey,Ireland,Ireland,12,40,Ex-Bourbon/Ex-Sherry,None,,Official
Tullamore D.E.W. 12 Year Old Special Reserve,Tullamore,Irish Whiskey,Ireland,Ireland,12,40,"Ex-Sherry, Ex-Bourbon",None,,Official
Tullamore D.E.W. 15 Year Old Special Reserve,Tullamore Distillery,Irish Whiskey,Ireland,Ireland,15,40,Ex-Bourbon/Ex-Sherry,None,,Official
Tullamore D.E.W. Cider Cask Finish,Tullamore Distillery,Irish Whiskey,Ireland,Ireland,NAS,40,Ex-Cider,None,,Official
Tullamore D.E.W. Cider Cask Finish,Tullamore,Irish Whiskey,Ireland,Ireland,NAS,40,Ex-Cider,None,,Official
Tullamore D.E.W. Three Wood,Tullamore Distillery,Irish Whiskey,Ireland,Ireland,NAS,43,"Ex-Bourbon, Ex-Sherry, Ex-Port",None,,Official
Tullamore D.E.W. Three Wood,Tullamore,Irish Whiskey,Ireland,Ireland,NAS,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Akashi White Oak,White Oak,Japanese Whisky,Japan,Japan,NAS,40,Ex-Bourbon,None,,Official
Amakazzai Single Malt,Akashi,Japanese Whisky,Japan,Japan,NAS,43,Ex-Bourbon,None,,Official
Amazake Single Malt,Amazake,Japanese Whisky,Japan,Japan,NAS,40,Ex-Bourbon,None,,Official
Chichibu On The Way,Chichibu,Japanese Whisky,Japan,Japan,NAS,55,Ex-Bourbon,Light,,Official
Chichibu The First,Chichibu,Japanese Whisky,Japan,Japan,NAS,61.4,Ex-Bourbon,None,,Official
Chichibu The Peated 2020,Chichibu,Japanese Whisky,Japan,Japan,NAS,58,Ex-Bourbon,Heavy,2020,Official
Ginjiro 15 Year Old,Ginjiro,Japanese Whisky,Japan,Japan,15,43,Ex-Bourbon,None,,Official
Gyokuro Single Malt,Suntory,Japanese Whisky,Japan,Japan,NAS,43,Ex-Bourbon,None,,Official
Hakushu 12 Year Old,Suntory,Japanese Whisky,Japan,Japan,12,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Hakushu 18 Year Old,Suntory,Japanese Whisky,Japan,Japan,18,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Hakushu Distiller's Reserve,Suntory,Japanese Whisky,Japan,Japan,NAS,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Hakushu Distillery 2020 Release,Suntory,Japanese Whisky,Japan,Japan,NAS,43,Ex-Bourbon,None,,Official
Hakushu Distillery Edition,Suntory,Japanese Whisky,Japan,Japan,NAS,43,Ex-Bourbon,None,,Official
Hakushu Distillery Kaku,Suntory,Japanese Whisky,Japan,Japan,NAS,43,Ex-Bourbon,Light,,Official
Hakushu Distillery Release,Suntory,Japanese Whisky,Japan,Japan,NAS,43,Ex-Bourbon,None,,Official
Hanyu 1983,Hanyu,Japanese Whisky,Japan,Japan,33,59.1,Sherry Cask,None,1983,Official
Hanyu 1984,Hanyu,Japanese Whisky,Japan,Japan,,59.9,Ex-Bourbon,None,1984,Official
Hanyu 1985,Hanyu,Japanese Whisky,Japan,Japan,30,54.9,Ex-Bourbon,None,1985,Official
Hanyu 1986,Hanyu,Japanese Whisky,Japan,Japan,29,52.4,Ex-Bourbon,None,1986,Official
Hanyu 1987,Hanyu,Japanese Whisky,Japan,Japan,27,54,Sherry,None,1987,Official
Hanyu 1991,Hanyu,Japanese Whisky,Japan,Japan,24,57.2,Sherry,None,1991,Official
Hanyu 2015,Hanyu,Japanese Whisky,Japan,Japan,16,48,Ex-Bourbon,None,2015,Official
Hanyu The Final Vintage,Hanyu,Japanese Whisky,Japan,Japan,16,53.5,Ex-Bourbon,None,2000,Official
Hanyu The Last Phylloxera,Hanyu,Japanese Whisky,Japan,Japan,NAS,61.8,Ex-Bourbon,None,,Official
Hokusai Single Malt,Tamagawa,Japanese Whisky,Japan,Japan,NAS,46,Ex-Bourbon,None,,Official
Ichiro's Malt 2017,Chichibu,Japanese Whisky,Japan,Japan,NAS,50,Ex-Bourbon,None,2017,Official
Ichiro's Malt Chichibu On The Way,Chichibu,Japanese Whisky,Japan,Japan,NAS,55,Ex-Bourbon,None,,Official
Ichiro's Malt Chichibu The First,Chichibu,Japanese Whisky,Japan,Japan,NAS,49.5,"Ex-Bourbon, Ex-Sherry",None,,Official
Ichiro's Malt Chichibu The Peated,Chichibu,Japanese Whisky,Japan,Japan,NAS,50,Ex-Bourbon,Heavy,,Official
Ichiro's Malt Double Distilleries,Chichibu,Japanese Whisky,Japan,Japan,NAS,48,Ex-Bourbon,None,,Official
Ichiro's Malt Pudding,Chichibu,Japanese Whisky,Japan,Japan,NAS,50,Ex-Bourbon,None,,Official
Ichiro's Malt The Best Blended,Chichibu,Japanese Whisky,Japan,Japan,NAS,49.5,Ex-Bourbon,None,,Official
Ichiro's Malt The Peated,Chichibu,Japanese Whisky,Japan,Japan,NAS,55,,Heavy,,Official
Karuizawa 12 Year Old,Karuizawa,Japanese Whisky,Japan,Japan,12,58,Ex-Bourbon,None,,Official
Karuizawa 1979 33 Year Old,Karuizawa,Japanese Whisky,Japan,Japan,33,50,Sherry Hogshead,Medium,1979,Official
Karuizawa 1981,Karuizawa,Japanese Whisky,Japan,Japan,31,63.5,Oloroso Sherry,Medium,1981,Official
Karuizawa 1982,Karuizawa,Japanese Whisky,Japan,Japan,30,64.4,Sherry Cask,Medium,1982,Official
Karuizawa 1983,Karuizawa,Japanese Whisky,Japan,Japan,28,61.6,Sherry Cask,Medium,1983,Official
Karuizawa 1984,Karuizawa,Japanese Whisky,Japan,Japan,30,59.8,Ex-Bourbon,None,1984,Official
Karuizawa 1985,Karuizawa,Japanese Whisky,Japan,Japan,30,61.0,Sherry Cask,None,1985,Official
Karuizawa 1990,Karuizawa,Japanese Whisky,Japan,Japan,25,54.3,Sherry,None,1990,Official
Karuizawa 1993,Karuizawa,Japanese Whisky,Japan,Japan,NAS,63.6,Ex-Sherry,None,1993,Official
Karuizawa 1994,Karuizawa,Japanese Whisky,Japan,Japan,20,61.4,Sherry,None,1994,Official
Karuizawa 1995,Karuizawa,Japanese Whisky,Japan,Japan,20,61,Ex-Bourbon,None,1995,Official
Karuizawa 1996,Karuizawa,Japanese Whisky,Japan,Japan,20,59,Ex-Sherry,Heavy,1996,Official
Karuizawa 1997,Karuizawa,Japanese Whisky,Japan,Japan,20,61.7,Sherry,None,1997,Official
Karuizawa 1998,Karuizawa,Japanese Whisky,Japan,Japan,18,58,Ex-Bourbon,Medium,1998,Official
Karuizawa 1999,Karuizawa,Japanese Whisky,Japan,Japan,16,58.3,Sherry Cask,None,1999,Official
Karuizawa 2000,Karuizawa,Japanese Whisky,Japan,Japan,16,59,Ex-Sherry,Medium,2000,Official
Karuizawa 2004,Karuizawa,Japanese Whisky,Japan,Japan,10,60,Ex-Bourbon,Medium,2004,Official
Karuizawa 2010,Karuizawa,Japanese Whisky,Japan,Japan,6,58.5,Ex-Bourbon,Light,2010,Official
Karuizawa 2011,Karuizawa,Japanese Whisky,Japan,Japan,8,63.3,Ex-Bourbon,None,2011,Official
Karuizawa 2013,Karuizawa,Japanese Whisky,Japan,Japan,2013,60.5,Ex-Bourbon,None,,Official
Kavalan Solist,Kavalan,Japanese Whisky,Japan,Japan,NAS,57.8,Ex-Bourbon,None,,Official
Kikou 12 Year Old,Kikou,Japanese Whisky,Japan,Japan,12,43,Ex-Bourbon,None,,Official
Kikou 15 Year Old,Kikou,Japanese Whisky,Japan,Japan,15,46,Ex-Bourbon,None,,Official
Kurayoshi 12 Year Old,Shinjiro Torii,Japanese Whisky,Japan,Japan,12,43,Ex-Bourbon,None,,Official
Mars Komagatake 2020,Mars,Japanese Whisky,Japan,Japan,NAS,50,Ex-Sherry,None,,Official
Mars Komagatake Single Malt,Mars,Japanese Whisky,Japan,Japan,NAS,48,Ex-Bourbon,None,,Official
Miyagikyo 10 Year Old,Nikka,Japanese Whisky,Japan,Japan,10,45,Ex-Bourbon,None,,Official
Miyagikyo 12 Year Old,Nikka,Japanese Whisky,Japan,Japan,12,45,"Ex-Bourbon, Ex-Sherry",None,,Official
Miyagikyo 15 Year Old,Nikka,Japanese Whisky,Japan,Japan,15,46,"Ex-Bourbon, Ex-Sherry",None,,Official
Miyagikyo Limited Edition,Nikka,Japanese Whisky,Japan,Japan,NAS,50,Ex-Bourbon,None,,Official
Miyagikyo Single Malt,Nikka,Japanese Whisky,Japan,Japan,NAS,45,"Ex-Sherry, Ex-Bourbon",None,,Official
Miyagikyo Single Malt Special Edition,Nikka,Japanese Whisky,Japan,Japan,NAS,48,Ex-Bourbon,None,,Official
Nikka All Malt,Nikka,Japanese Whisky,Japan,Japan,NAS,40,Ex-Bourbon,None,,Official
Nikka Coffey Malt,Nikka,Japanese Whisky,Japan,Japan,NAS,45,Ex-Bourbon,None,,Official
Nikka From The Barrel,Nikka,Japanese Whisky,Japan,Japan,NAS,51.4,Various,None,,Official
Nikka Miyagikyo 12 Year Old,Nikka,Japanese Whisky,Japan,Japan,12,45,Ex-Bourbon,None,,Official
Nikka Miyagikyo 15 Year Old,Nikka,Japanese Whisky,Japan,Japan,15,46,"Ex-Bourbon, Ex-Sherry",None,,Official
Nikka Miyagikyo Single Malt,Nikka,Japanese Whisky,Japan,Japan,NAS,45,"Ex-Bourbon, Ex-Sherry",None,,Official
Nikka Taketsuru 17 Year Old,Nikka,Japanese Whisky,Japan,Japan,17,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Nikka Taketsuru 21 Year Old,Nikka,Japanese Whisky,Japan,Japan,21,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Nikka Taketsuru Pure Malt,Nikka,Japanese Whisky,Japan,Japan,NAS,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Nikka Yoichi Single Malt,Nikka,Japanese Whisky,Japan,Japan,NAS,45,"Ex-Bourbon, Ex-Sherry",Medium,,Official
Shinshu Komagatake 2018,Mars,Japanese Whisky,Japan,Japan,NAS,48,Ex-Bourbon,None,2018,Official
Shinshu Mars Komagatake,Mars,Japanese Whisky,Japan,Japan,NAS,48,"Ex-Bourbon, Ex-Sherry",None,,Official
Shinshu Mars Komagatake 2018,Mars,Japanese Whisky,Japan,Japan,NAS,48,Ex-Bourbon,None,2018,Official
Shinshu Mars Komagatake 2019,Mars,Japanese Whisky,Japan,Japan,NAS,48,"Ex-Bourbon, Ex-Sherry",None,2019,Official
Shinshu Mars Komagatake 2020,Mars,Japanese Whisky,Japan,Japan,NAS,48,"Ex-Bourbon, Ex-Wine",None,,Official
Shinshu Mars Komagatake 2021,Mars,Japanese Whisky,Japan,Japan,NAS,48,Ex-Bourbon,None,,Official
Shinshu Mars Komagatake 2022,Mars,Japanese Whisky,Japan,Japan,NAS,48,Ex-Bourbon,None,,Official
Suntory Whisky Toki,Suntory,Japanese Whisky,Japan,Japan,NAS,43,"Ex-Bourbon, Ex-Wine",None,,Official
Tamagawa 12 Year Old,Tamagawa,Japanese Whisky,Japan,Japan,12,46,Ex-Bourbon,None,,Official
Tamagawa Hokusai Single Malt,Tamagawa,Japanese Whisky,Japan,Japan,NAS,48,,None,,Official
Togouchi 15 Year Old,Chugoku Jozo,Japanese Whisky,Japan,Japan,15,43,Ex-Bourbon,None,,Official
Togouchi 9 Year Old,Chugoku Jozo,Japanese Whisky,Japan,Japan,9,43,Ex-Bourbon,None,,Official
Yamazaki 10 Year Old,Suntory,Japanese Whisky,Japan,Japan,10,40,"Ex-Bourbon, Ex-Sherry",None,,Official
Yamazaki 12 Year Old,Suntory,Japanese Whisky,Japan,Japan,12,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Yamazaki 12 Year Sherry Cask,Suntory,Japanese Whisky,Japan,Japan,12,43,Sherry,None,,Official
Yamazaki 18 Year Old,Suntory,Japanese Whisky,Japan,Japan,18,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Yamazaki 2005 Limited Edition,Suntory,Japanese Whisky,Japan,Japan,NAS,53,"Ex-Bourbon, Ex-Sherry",None,2005,Official
Yamazaki 2007 Limited Edition,Suntory,Japanese Whisky,Japan,Japan,NAS,52,"Ex-Sherry, Ex-Bourbon",None,2007,Official
Yamazaki 25 Year Old,Suntory,Japanese Whisky,Japan,Japan,25,43,Ex-Sherry,None,,Official
Yamazaki Distillery Reserve,Suntory,Japanese Whisky,Japan,Japan,NAS,43,Various,None,,Official
Yamazaki Single Malt Sherry Cask,Suntory,Japanese Whisky,Japan,Japan,NAS,47,Ex-Sherry,None,,Official
Yoichi Single Malt Limited Edition,Nikka,Japanese Whisky,Japan,Japan,NAS,48,Ex-Bourbon,None,,Official
Glen Scotia 10 Year Old,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,10,40,Ex-Bourbon,Light,,Official
Glen Scotia 11 Year Old,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,11,40,Ex-Bourbon,Light,,Official
Glen Scotia 12 Year Old,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,12,40,Ex-Bourbon,Light,,Official
Glen Scotia 13 Year Old,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,13,40,Ex-Bourbon,Light,,Official
Glen Scotia 14 Year Old,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,14,46,Ex-Bourbon,Light,,Official
Glen Scotia 18 Year Old,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,18,46,"Ex-Bourbon, Ex-Sherry",Light,,Official
Glen Scotia 18 Year Old Limited Edition,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,18,46,Ex-Bourbon,Medium,,Official
Glen Scotia 20 Year Old,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,20,50,Ex-Bourbon,Medium,,Official
Glen Scotia 2019 Limited Edition,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,NAS,56.7,Ex-Bourbon,Medium,,Official
Glen Scotia 2020 Campbellton Malts Edition,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,NAS,50,Ex-Bourbon,Medium,,Official
Glen Scotia 25 Year Old,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,25,51,Ex-Bourbon,Medium,,Official
Glen Scotia Campbeltown Festival 2020,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,14,57.4,"Ex-Bourbon, Ex-Pedro Ximénez",Medium,,Official
Glen Scotia Orchard,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,NAS,43,Ex-Bourbon,Light,,Official
Glen Scotia Victoriana,Glen Scotia Distillery,Single Malt,Campbeltown,Scotland,NAS,51.5,Ex-Bourbon,Medium,,Official
Hazelburn 10 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,10,46,"Ex-Bourbon, Ex-Sherry",None,,Official
Longrow 14 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,14,46,"Ex-Bourbon, Ex-Port",Heavy,,Official
Longrow 16 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,16,51,Ex-Bourbon,Heavy,,Official
Longrow 18 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,18,46,Ex-Bourbon,Heavy,,Official
Longrow Peated,Springbank Distillery,Single Malt,Campbeltown,Scotland,NAS,46,Ex-Bourbon,Heavy,,Official
Longrow Red 11 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,11,54.7,"Ex-Bourbon, Ex-Port",Heavy,,Official
Longrow Red 13 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,13,51.2,Ex-Pinot Noir,Heavy,,Official
Springbank 10 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,10,46,"Ex-Bourbon, Ex-Sherry",Medium,,Official
Springbank 10 Year Old Local Barley,Springbank Distillery,Single Malt,Campbeltown,Scotland,10,50.2,Ex-Bourbon,Medium,,Official
Springbank 18 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,18,46,Ex-Bourbon,Medium,,Official
Springbank 21 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,21,46%,"Ex-Bourbon, Ex-Sherry",Medium,,Official
Springbank 25 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,25,46,"Ex-Bourbon, Ex-Sherry",Medium,,Official
Springbank CV,Springbank Distillery,Single Malt,Campbeltown,Scotland,NAS,46,"Ex-Bourbon, Ex-Sherry",Medium,,Official
Springbank Local Barley 15 Year Old,Springbank Distillery,Single Malt,Campbeltown,Scotland,15,56.2,Ex-Bourbon,Medium,,Official
Aberfeldy 12 Year Old,Aberfeldy,Single Malt,Highland,Scotland,12,40,,None,,Official
Aberfeldy 16 Year Old,Aberfeldy Distillery,Single Malt,Highland,Scotland,16,40,Ex-Bourbon,None,,Official
Aberfeldy 21 Year Old,Aberfeldy Distillery,Single Malt,Highland,Scotland,21,40,Ex-Bourbon,None,,Official
Aberfeldy 21 Year Old,Aberfeldy,Single Malt,Highland,Scotland,21,43,Ex-Bourbon,None,,Official
Abhainn Dearg Single Malt,Abhainn Dearg Distillery,Single Malt,Highland,Scotland,NAS,46,Ex-Bourbon,None,,Official
Ailsa Bay,Ailsa Bay,Single Malt,Highland,Scotland,NAS,51,Ex-Bourbon,Medium,,Official
Allt-a-Bhainne 12 Year Old,Allt-a-Bhainne Distillery,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Allt-a-Bhainne 12 Year Old,Allt-a-Bhainne,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Ancnoc 12 Year Old,Knockdhu,Single Malt,Highland,Scotland,12,43,"Ex-Bourbon, Ex-Sherry",None,,Official
AnCnoc 22 Year Old,Knockdhu Distillery,Single Malt,Highland,Scotland,22,46,"Ex-Bourbon, Ex-Sherry",None,,Official
Aultmore 12 Year Old,Aultmore,Single Malt,Highland,Scotland,12,46,Ex-Bourbon,None,,Official
Aultmore 18 Year Old,Aultmore,Single Malt,Highland,Scotland,18,46,Ex-Bourbon,None,,Official
Balblair 12 Year Old,Balblair,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Balblair 15 Year Old,Balblair,Single Malt,Highland,Scotland,15,46,Ex-Bourbon,None,,Official
Balblair 2002 Vintage,Balblair,Single Malt,Highland,Scotland,,46,"Ex-Bourbon, Ex-Sherry",None,2002,Official
Balblair 2003 Vintage,Balblair,Single Malt,Highland,Scotland,NAS,46,Ex-Bourbon,None,2003,Official
Balblair 2004 Vintage,Balblair,Single Malt,Highland,Scotland,,46,"Ex-Bourbon, Ex-Sherry",None,2004,Official
Balblair 2005 Vintage,Balblair,Single Malt,Highland,Scotland,NAS,46,Ex-Bourbon,None,2005,Official
Balblair Vintage 2005,Balblair,Single Malt,Highland,Scotland,,46,"Ex-Bourbon, Ex-Sherry",None,2005,Official
Balvenie 12 Year Old,Balvenie,Single Malt,Highland,Scotland,12,40,Ex-Bourbon / Ex-Sherry,None,,Official
Balvenie 14 Year Old Caribbean Cask,Balvenie,Single Malt,Highland,Scotland,14,43,"Ex-Bourbon, Rum Cask",None,,Official
Balvenie 15 Year Old,Balvenie Distillery,Single Malt,Highland,Scotland,15,47.2,"Ex-Bourbon, Ex-Sherry",None,,Official
Balvenie DoubleWood 12 Year Old,Balvenie,Single Malt,Highland,Scotland,12,40,"Ex-Bourbon, Ex-Sherry",None,,Official
Balvenie Tun 1509 Batch 6,Balvenie,Single Malt,Highland,Scotland,NAS,52.4,Various,None,,Official
Ben Nevis 10 Year Old,Ben Nevis Distillery,Single Malt,Highland,Scotland,10,40,Ex-Bourbon,Medium,,Official
Ben Nevis 10 Year Old,Ben Nevis,Single Malt,Highland,Scotland,10,43,Ex-Bourbon,Medium,,Official
Ben Nevis 12 Year Old,Ben Nevis,Single Malt,Highland,Scotland,12,40,"Ex-Bourbon, Ex-Sherry",None,,Official
Ben Nevis 15 Year Old,Ben Nevis,Single Malt,Highland,Scotland,15,46,Ex-Bourbon,Medium,,Official
Ben Nevis 15 Year Old,Ben Nevis Distillery,Single Malt,Highland,Scotland,15,46,Ex-Bourbon,None,,Official
Ben Nevis 16 Year Old,Ben Nevis Distillery,Single Malt,Highland,Scotland,16,46,"Ex-Bourbon, Ex-Sherry",None,,Official
Ben Nevis 21 Year Old,Ben Nevis,Single Malt,Highland,Scotland,21,46,Ex-Bourbon / Ex-Sherry,Medium,,Official
Ben Rinnes 12 Year Old,Ben Rinnes Distillery,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Benmore 21 Year Old,Benmore,Single Malt,Highland,Scotland,21,50,Ex-Bourbon,None,,Official
BenRinnes 12 Year Old,BenRinnes,Single Malt,Highland,Scotland,12,43,Ex-Bourbon,None,,Official
BenRinnes 15 Year Old,Ben Rinnes Distillery,Single Malt,Highland,Scotland,15,43,Ex-Bourbon,None,,Official
BenRinnes 15 Year Old,BenRinnes,Single Malt,Highland,Scotland,15,46,"Ex-Bourbon, Ex-Sherry",None,,Official
Benromach 10 Year Old,Benromach,Single Malt,Highland,Scotland,10,43,Ex-Bourbon / Ex-Sherry,Light,,Official
Brora 16 Year Old,Brora Distillery,Single Malt,Highland,Scotland,16,43,Ex-Sherry,Medium,,Official
Brora 30 Year Old,Brora,Single Malt,Highland,Scotland,30,50,Ex-Sherry,Medium,,Official
Capercaille 12 Year Old,Capercaille,Single Malt,Highland,Scotland,12,43,Ex-Bourbon,None,,Official
Chichibu The Peated,Chichibu,Single Malt,Highland,Scotland,,61.5,Ex-Bourbon,Heavy,,Official
Clynelish 14 Year Old,Clynelish Distillery,Single Malt,Highland,Scotland,14,46,Ex-Bourbon,Light,,Official
Clynelish 14 Year Old,Clynelish,Single Malt,Highland,Scotland,14,46,"Ex-Bourbon, Ex-Sherry",Light,,Official
Cragganmore 12 Year Old,Cragganmore,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Dailuaine 12 Year Old,Dailuaine,Single Malt,Highland,Scotland,12,43,Ex-Bourbon,None,,Official
Dalmore 12 Year Old,The Dalmore Distillery,Single Malt,Highland,Scotland,12,40,"Ex-Bourbon, Ex-Sherry",None,,Official
Dalmore 12 Year Old,Dalmore,Single Malt,Highland,Scotland,12,40,Ex-Sherry,None,,Official
Dalmore 15 Year Old,Dalmore,Single Malt,Highland,Scotland,15,40,"Ex-Bourbon, Ex-Sherry",None,,Official
Dalmore 15 Year Old,Dalmore Distillery,Single Malt,Highland,Scotland,15,40,Ex-Sherry,None,,Official
Dalmore 18 Year Old,Dalmore Distillery,Single Malt,Highland,Scotland,18,43,Ex-Sherry,None,,Official
Dalmore 18 Year Old,Dalmore,Single Malt,Highland,Scotland,18,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Dalmore 25 Year Old,Dalmore Distillery,Single Malt,Highland,Scotland,25,51.5,Ex-Sherry,None,,Official
Dalmore King Alexander III,The Dalmore Distillery,Single Malt,Highland,Scotland,NAS,40,"Ex-Sherry, Ex-Bourbon",None,,Official
Dalmore King Alexander III,Dalmore Distillery,Single Malt,Highland,Scotland,NAS,40,Ex-Bourbon & Ex-Sherry,None,,Official
Deanston 12 Year Old,Deanston,Single Malt,Highland,Scotland,12,46.3,Ex-Bourbon,None,,Official
Edradour 10 Year Old,Edradour,Single Malt,Highland,Scotland,10,40,Ex-Bourbon,None,,Official
Edradour 12 Year Old,Edradour Distillery,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Edradour 12 Year Old,Edradour,Single Malt,Highland,Scotland,12,40,Ex-Sherry,None,,Official
Fettercairn 12 Year Old,Fettercairn,Single Malt,Highland,Scotland,12,40,"Ex-Bourbon, Ex-Sherry",None,,Official
Fettercairn 15 Year Old,Fettercairn Distillery,Single Malt,Highland,Scotland,15,43,Ex-Bourbon,None,,Official
Fettercairn 18 Year Old,Fettercairn Distillery,Single Malt,Highland,Scotland,18,46,Ex-Bourbon,None,,Official
Glen Dronach 18 Year Old Allardice,Glen Dronach Distillery,Single Malt,Highland,Scotland,18,46,Ex-Sherry Oloroso,None,,Official
Glen Garioch 12 Year Old,Glen Garioch,Single Malt,Highland,Scotland,12,48,Ex-Bourbon,None,,Official
Glen Garioch 15 Year Old,Glen Garioch,Single Malt,Highland,Scotland,15,48,"Ex-Bourbon, Ex-Sherry",None,,Official
Glen Keith 12 Year Old,Glen Keith,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Glen Moray 10 Year Old,Glen Moray,Single Malt,Highland,Scotland,10,40,Ex-Bourbon,None,,Official
Glen Moray 12 Year Old,Glen Moray,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Glen Moray 14 Year Old,Glen Moray,Single Malt,Highland,Scotland,14,46,Ex-Bourbon,None,,Official
Glen Moray 18 Year Old,Glen Moray,Single Malt,Highland,Scotland,18,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Glen Moray 20 Year Old,Glen Moray Distillery,Single Malt,Highland,Scotland,20,43,Ex-Bourbon,None,,Official
Glen Moray 25 Year Old,Glen Moray Distillery,Single Malt,Highland,Scotland,25,43,Ex-Bourbon,None,,Official
Glen Moray Classic,Glen Moray,Single Malt,Highland,Scotland,NAS,40,Ex-Bourbon,None,,Official
Glen Ord 12 Year Old,Glen Ord Distillery,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Glen Ord 12 Year Old,Glen Ord,Single Malt,Highland,Scotland,12,40,Ex-Bourbon,None,,Official
Glen Ord 18 Year Old,Glen Ord Distillery,Single Malt,Highland,Scotland,18,43,Ex-Bourbon,None,,Official
